food_id,allergy_id
100771,3
100775,3
100776,3
100777,3
100779,3
100780,3
100781,3
100782,3
100786,3
100791,3
100809,3
100822,3
100824,3
100827,3
100830,3
100832,3
100833,3
100837,3
100838,3
100839,3
100846,3
100849,3
100850,3
100854,3
100856,3
100857,3
100859,3
100861,3
100862,3
100864,3
100868,3
100870,3
100871,3
100872,3
100874,3
100877,3
100879,3
100880,3
100881,3
100883,3
100887,3
100895,3
100898,3
100906,3
100907,3
100918,3
100924,3
100928,3
100931,3
100940,3
100941,3
100942,3
100946,3
100952,3
100957,3
100959,3
100962,3
100963,3
100969,3
100974,3
100975,3
100976,3
100977,3
101008,3
101033,3
101045,3
101048,3
101049,3
101050,3
101051,3
101053,3
101054,3
101055,3
101056,3
101057,3
101059,3
101061,3
101062,3
101064,3
101065,3
101066,3
101068,3
101071,3
101072,3
101077,3
101079,3
101084,3
101086,3
101087,3
101088,3
101092,3
101094,3
101095,3
101099,3
101107,3
101114,3
101116,3
101121,3
101138,3
101139,3
101148,3
101151,3
100302,4
100337,4
100338,4
100342,4
100504,4
100585,4
100718,4
100759,4
100821,4
100885,4
101146,4
100001,5
100002,5
100004,5
100005,5
100008,5
100009,5
100012,5
100013,5
100014,5
100015,5
100016,5
100017,5
100019,5
100021,5
100022,5
100026,5
100027,5
100029,5
100030,5
100032,5
100033,5
100034,5
100036,5
100038,5
100044,5
100045,5
100048,5
100049,5
100051,5
100052,5
100054,5
100057,5
100059,5
100063,5
100066,5
100067,5
100068,5
100071,5
100073,5
100074,5
100075,5
100076,5
100077,5
100078,5
100079,5
100080,5
100084,5
100090,5
100093,5
100095,5
100097,5
100098,5
100101,5
100102,5
100107,5
100109,5
100111,5
100115,5
100117,5
100119,5
100122,5
100124,5
100125,5
100127,5
100128,5
100129,5
100130,5
100131,5
100132,5
100133,5
100134,5
100142,5
100144,5
100147,5
100148,5
100149,5
100151,5
100153,5
100154,5
100155,5
100157,5
100166,5
100168,5
100169,5
100173,5
100190,5
